,name,album,release_date,release_year,track_number,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
234,this is me trying - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,9,0.928,0.435,0.332,0.000898,0.0867,-11.611,0.031,68.097,0.157,58,209293
278,Lover,Lover,8/23/2019,2019,3,0.492,0.359,0.543,1.58E-05,0.118,-7.582,0.0919,68.534,0.453,90,221306
292,It’s Nice To Have A Friend,Lover,8/23/2019,2019,17,0.971,0.737,0.175,0.000337,0.171,-9.912,0.0401,70.008,0.545,69,150440
341,Breathe,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,33,0.416,0.442,0.48,0,0.129,-7.405,0.0281,73.849,0.167,34,264946
142,Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),11/12/2021,2021,22,0.214,0.473,0.579,0,0.0877,-5.824,0.0384,73.942,0.255,70,297013
500,Breathe,Fearless,11/11/2008,2008,7,0.379,0.505,0.482,0,0.113,-7.372,0.0276,73.975,0.184,43,263973
524,Mary's Song (Oh My My My),Taylor Swift,10/24/2006,2006,10,0.0177,0.403,0.627,0,0.182,-5.28,0.0292,74.9,0.374,58,213080
181,tolerate it,evermore (deluxe version),1/7/2021,2021,5,0.878,0.316,0.361,2.67E-05,0.0797,-10.381,0.0488,74.952,0.221,70,245440
198,tolerate it,evermore,12/11/2020,2020,5,0.878,0.316,0.361,2.67E-05,0.0797,-10.381,0.0488,74.952,0.221,77,245440
300,So It Goes...,reputation,11/10/2017,2017,7,0.122,0.574,0.61,1.10E-06,0.13,-7.283,0.0732,74.957,0.374,73,227906
321,So It Goes...,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,13,0.122,0.574,0.61,1.10E-06,0.13,-7.283,0.0732,74.957,0.374,56,227906
263,exile (feat. Bon Iver),folklore,7/24/2020,2020,4,0.778,0.298,0.38,5.62E-05,0.11,-8.426,0.0287,75.602,0.152,80,285634
212,exile (feat. Bon Iver),folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,4,0.761,0.31,0.374,2.46E-05,0.11,-8.464,0.0275,75.938,0.16,52,285640
246,exile (feat. Bon Iver),folklore (deluxe version),8/18/2020,2020,4,0.761,0.31,0.374,2.46E-05,0.11,-8.464,0.0275,75.938,0.16,71,285640
515,Tim McGraw,Taylor Swift,10/24/2006,2006,1,0.575,0.58,0.491,0,0.121,-6.462,0.0251,76.009,0.425,65,232106
390,I Knew You Were Trouble.,Red (Deluxe Edition),10/22/2012,2012,4,0.00454,0.622,0.469,2.25E-06,0.0398,-6.798,0.0363,77.019,0.679,50,217973
412,I Knew You Were Trouble.,Red,10/22/2012,2012,4,0.00454,0.622,0.469,2.25E-06,0.0398,-6.798,0.0363,77.019,0.679,60,217973
317,I Knew You Were Trouble.,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,9,0.00476,0.536,0.464,2.67E-06,0.0357,-6.761,0.0412,77.318,0.665,39,219720
429,Ours - Live/2011,Speak Now World Tour Live,10/25/2010,2010,5,0.715,0.421,0.355,0,0.867,-10.21,0.0298,77.769,0.267,44,245973
38,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),10/26/2023,2023,17,0.345,0.629,0.413,7.62E-05,0.0603,-13.178,0.055,77.983,0.306,84,180381
60,When Emma Falls in Love (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),7/7/2023,2023,18,0.159,0.474,0.763,0,0.138,-4.632,0.0505,78.133,0.231,70,252385
371,I Know Places - Voice Memo,1989 (Deluxe Edition),10/27/2014,2014,17,0.829,0.592,0.128,0,0.527,-17.932,0.589,78.828,0.15,33,216333
136,Begin Again (Taylor's Version),Red (Taylor's Version),11/12/2021,2021,16,0.075,0.519,0.527,0,0.132,-7.673,0.0274,78.915,0.267,69,238866
182,"no body, no crime (feat. HAIM)",evermore (deluxe version),1/7/2021,2021,6,0.418,0.546,0.613,0,0.103,-7.589,0.0264,79.015,0.535,68,215626
199,"no body, no crime (feat. HAIM)",evermore,12/11/2020,2020,6,0.418,0.546,0.613,0,0.103,-7.589,0.0264,79.015,0.535,69,215626
344,Begin Again,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,36,0.199,0.53,0.526,3.52E-06,0.14,-8.349,0.0263,79.025,0.323,30,239426
402,Begin Again,Red (Deluxe Edition),10/22/2012,2012,16,0.199,0.53,0.526,3.52E-06,0.232,-8.349,0.0263,79.025,0.323,41,237613
424,Begin Again,Red,10/22/2012,2012,16,0.199,0.53,0.526,3.52E-06,0.232,-8.349,0.0263,79.025,0.323,54,237613
55,Last Kiss (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,2023,13,0.447,0.55,0.366,4.43E-06,0.101,-8.46,0.0276,79.401,0.16,72,369120
433,Last Kiss - Live/2011,Speak Now World Tour Live,10/25/2010,2010,9,0.205,0.427,0.395,8.73E-06,0.701,-12.551,0.0291,79.517,0.188,44,369066
115,Vigilante Shit,Midnights,10/21/2022,2022,8,0.173,0.798,0.277,5.25E-05,0.121,-11.096,0.39,79.846,0.163,77,164801
138,Come Back...Be Here (Taylor's Version),Red (Taylor's Version),11/12/2021,2021,18,0.0158,0.46,0.632,0,0.0822,-6.031,0.0302,79.846,0.399,70,223333
134,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Red (Taylor's Version),11/12/2021,2021,14,0.271,0.498,0.61,0,0.223,-5.098,0.0363,79.918,0.474,73,245426
336,Come Back...Be Here,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,28,0.00471,0.483,0.548,2.01E-06,0.0997,-6.291,0.0254,79.926,0.217,31,223920
404,Come Back...Be Here,Red (Deluxe Edition),10/22/2012,2012,18,0.00471,0.483,0.548,2.01E-06,0.0997,-6.291,0.0254,79.926,0.217,42,222706
72,Vigilante Shit,Midnights (The Til Dawn Edition),5/26/2023,2023,8,0.157,0.867,0.272,3.42E-05,0.118,-11.014,0.363,79.962,0.157,66,164801
288,False God,Lover,8/23/2019,2019,13,0.736,0.739,0.32,0.000147,0.111,-10.862,0.239,79.97,0.351,76,200306
475,Jump Then Fall,Fearless Platinum Edition,11/11/2008,2008,1,0.111,0.618,0.687,0,0.0693,-5.737,0.0271,79.991,0.82,42,237066
95,Vigilante Shit,Midnights (3am Edition),10/22/2022,2022,8,0.16,0.87,0.279,1.74E-05,0.121,-11.134,0.364,79.996,0.16,65,164801
343,Jump Then Fall,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,35,0.113,0.617,0.699,0,0.074,-5.712,0.0274,80.007,0.818,29,238093
400,Everything Has Changed,Red (Deluxe Edition),10/22/2012,2012,14,0.36,0.624,0.458,3.89E-06,0.303,-6.755,0.0287,80.017,0.436,44,243933
422,Everything Has Changed,Red,10/22/2012,2012,14,0.36,0.624,0.458,3.89E-06,0.303,-6.755,0.0287,80.017,0.436,49,243933
176,Bye Bye Baby (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),4/9/2021,2021,26,0.334,0.624,0.624,0,0.0995,-7.86,0.0539,80.132,0.527,65,242157
459,Haunted - Acoustic Version,Speak Now (Deluxe Edition),10/25/2010,2010,19,0.842,0.563,0.443,0,0.293,-5.078,0.0247,80.962,0.313,46,217613
177,willow,evermore (deluxe version),1/7/2021,2021,1,0.833,0.392,0.574,0.00179,0.145,-9.195,0.17,81.112,0.529,70,214706
194,willow,evermore,12/11/2020,2020,1,0.833,0.392,0.574,0.00179,0.145,-9.195,0.17,81.112,0.529,81,214706
51,Enchanted (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,2023,9,0.012,0.505,0.532,0,0.149,-3.526,0.0265,81.907,0.216,83,353253
332,Enchanted,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,24,0.0717,0.535,0.626,0.00127,0.158,-3.895,0.0274,81.963,0.218,43,353253
79,Bigger Than The Whole Sky,Midnights (The Til Dawn Edition),5/26/2023,2023,15,0.837,0.48,0.22,0.00269,0.116,-12.469,0.0425,82.951,0.0633,64,218502
296,I Did Something Bad,reputation,11/10/2017,2017,3,0.0679,0.696,0.602,2.11E-05,0.0696,-6.156,0.159,82.989,0.305,79,238253
270,invisible string,folklore,7/24/2020,2020,11,0.838,0.653,0.452,7.73E-05,0.108,-11.143,0.055,83.433,0.45,76,252880
236,invisible string - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,11,0.942,0.59,0.282,4.85E-06,0.11,-10.542,0.0281,83.438,0.351,55,257359
219,invisible string,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,11,0.859,0.651,0.459,6.63E-05,0.105,-11.128,0.0507,83.455,0.454,50,252880
253,invisible string,folklore (deluxe version),8/18/2020,2020,11,0.859,0.651,0.459,6.63E-05,0.105,-11.128,0.0507,83.455,0.454,69,252880
14,You Are In Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/2023,2023,15,0.61,0.363,0.498,3.91E-06,0.112,-9.473,0.0755,84.68,0.477,65,267389
36,You Are In Love (Taylor's Version),1989 (Taylor's Version),10/26/2023,2023,15,0.609,0.537,0.495,2.49E-06,0.112,-9.416,0.0573,84.948,0.492,73,267389
